No;Kode Wilayah;Kabupaten_Kota;Provinsi;Tahun;Penduduk_Miskin (%);Konsumsi_Protein (Gram);Konsumsi_Energi (Gram);Konsumsi_Lemak (Gram);Konsumsi_Sayur_dan_Buah (Gram);Skor Konsumsi Gizi
1;1109;Kabupaten Simeulue;Aceh;2021;18.98;51.6;1876;7.28;38.23;70.96
2;1110;Kabupaten Aceh Singkil;Aceh;2021;20.36;62.2;2228;12.45;102.21;129.72
3;1101;Kabupaten Aceh Selatan;Aceh;2021;13.18;61.8;2232;11.93;67.13;102.44
4;1102;Kabupaten Aceh Tenggara;Aceh;2021;13.41;63.1;2154;10.57;65.22;100.13
5;1103;Kabupaten Aceh Timur;Aceh;2021;14.45;59.3;2115;10.88;58.33;93.12
6;1104;Kabupaten Aceh Tengah;Aceh;2021;15.26;66.9;2349;12.19;101.36;131.99
7;1105;Kabupaten Aceh Barat;Aceh;2021;18.81;74.4;2467;11.7;93.14;129.5
8;1106;Kabupaten Aceh Besar;Aceh;2021;14.05;61.5;2044;8.72;62.07;95.27
9;1107;Kabupaten Pidie;Aceh;2021;19.59;63.7;2307;10.34;61.61;99.1
10;1111;Kabupaten Bireuen;Aceh;2021;13.25;66.3;2216;8.79;77.91;111.07
11;1108;Kabupaten Aceh Utara;Aceh;2021;17.43;55;1937;9.57;51.29;83.76
12;1112;Kabupaten Aceh Barat Daya;Aceh;2021;16.34;60.4;2173;10.77;58.05;93.89
13;1113;Kabupaten Gayo Lues;Aceh;2021;19.64;79.6;2734;11.25;90.46;132.01
14;1116;Kabupaten Aceh Tamiang;Aceh;2021;13.34;57.7;1997;12.08;62.51;94.95
15;1115;Kabupaten Nagan Raya;Aceh;2021;18.23;71.3;2544;12.6;94.08;130.22
16;1114;Kabupaten Aceh Jaya;Aceh;2021;13.23;68.5;2410;10.32;78.13;114.66
17;1117;Kabupaten Bener Meriah;Aceh;2021;19.16;65.8;2306;11.84;100.1;130.03
18;1118;Kabupaten Pidie Jaya;Aceh;2021;19.55;69.2;2431;10.82;83.23;119.25
19;1171;Kota Banda Aceh;Aceh;2021;7.61;66.7;2028;10.53;72.7;105.87
20;1172;Kota Sabang;Aceh;2021;15.32;63.8;2077;9.34;68.34;101.52
21;1174;Kota Langsa;Aceh;2021;10.96;66.8;2039;11.4;75.19;108.26
22;1173;Kota Lhokseumawe;Aceh;2021;11.16;62.6;2047;9.41;73.22;104.54
23;1175;Kota Subulussalam;Aceh;2021;17.65;57.7;2120;11.87;80.2;109.77
24;1204;Kabupaten Nias;Sumatera Utara;2021;16.82;53.7;2043;7.94;58.22;89.12
25;1213;Kabupaten Mandailing Natal;Sumatera Utara;2021;9.49;58.5;2162;9.33;70.96;102.46
26;1203;Kabupaten Tapanuli Selatan;Sumatera Utara;2021;8.8;62.3;2249;11.36;78.56;111.39
27;1201;Kabupaten Tapanuli Tengah;Sumatera Utara;2021;12.67;62.3;2122;9.87;63.43;97.86
28;1202;Kabupaten Tapanuli Utara;Sumatera Utara;2021;9.72;67.1;2258;11.95;84.67;118.18
29;1212;Kabupaten Toba Samosir;Sumatera Utara;2021;8.99;70.4;2278;11.65;99.35;130.79
30;1210;Kabupaten Labuhan Batu;Sumatera Utara;2021;8.74;54.2;1894;10.59;61.4;91.16
31;1209;Kabupaten Asahan;Sumatera Utara;2021;9.35;61.9;2073;11.93;80.36;110.98
32;1208;Kabupaten Simalungun;Sumatera Utara;2021;8.81;63.3;2163;12.47;86.92;117.69
33;1211;Kabupaten Dairi;Sumatera Utara;2021;8.31;65.1;2222;10.36;81.23;113.82
34;1206;Kabupaten Karo;Sumatera Utara;2021;8.79;71;2479;13.83;100.8;135.05
35;1207;Kabupaten Deli Serdang;Sumatera Utara;2021;4.01;61.9;2109;12.89;90.86;119.79
36;1205;Kabupaten Langkat;Sumatera Utara;2021;10.12;58.7;2090;12.64;75.52;106.51
37;1214;Kabupaten Nias Selatan;Sumatera Utara;2021;16.92;56.8;2214;7.95;50.11;85.83
38;1216;Kabupaten Humbang Hasundutan;Sumatera Utara;2021;9.65;67.8;2299;11.27;94.67;126.31
